Time (s),[ps],[e_ps],[so],[b_ps],[fa],[ofa],[eps],[oeps]
25124.68619246862,6.30180884664974e-07,9.321810759834939e-06,1.2579045165275327e-06,4.800835550010509e-08,2.7847785861394008e-05,0.012715384205548075,0.2059097662958867,0.47459465843849585
25305.439330543933,6.301591100203535e-07,9.321488663241002e-06,1.2578660828754126e-06,4.835222673866263e-08,2.6678391672460552e-05,0.012716742998730272,0.2041499865059292,0.47635443822845336
25486.192468619247,6.301373367937421e-07,9.32116658762265e-06,1.2578276079541533e-06,4.869607558362595e-08,2.55581417560328e-05,0.01271804469451378,0.2024052995434062,0.47809912519097636
25666.94560669456,6.301155649857557e-07,9.320844532988993e-06,1.2577890921725481e-06,4.9039902025269325e-08,2.448496238311981e-05,0.012719291701956608,0.20067557556531934,0.4798288491690632
25847.698744769874,6.300937945970028e-07,9.320522499349035e-06,1.257750535934526e-06,4.9383706053981085e-08,2.3456877545698543e-05,0.01272048631660875,0.1989606858524088,0.48154373888197377
26028.45188284519,6.300720256280853e-07,9.320200486711672e-06,1.2577119396392535e-06,4.972748766026219e-08,2.2472004460370974e-05,0.012721630725734413,0.19726050279910007,0.4832439219352825
26209.205020920504,6.300502580795975e-07,9.319878495085701e-06,1.257673303681873e-06,5.007124683471964e-08,2.152851341415189e-05,0.01272272705494456,0.19557489988866916,0.4849295248457134
26389.958158995818,6.300284919521276e-07,9.31955652447982e-06,1.2576346284530037e-06,5.041498356807001e-08,2.0624657167699633e-05,0.012723777334050806,0.1939037516972424,0.48660067303714016
26570.71129707113,6.300067272462562e-07,9.31923457490262e-06,1.2575959143384744e-06,5.075869785114118e-08,1.975878686414822e-05,0.012724783478589487,0.19224693389450007,0.4882574908398825
26751.464435146445,6.299849639625576e-07,9.318912646362596e-06,1.257557161720307e-06,5.110238967486351e-08,1.8929298769045614e-05,0.012725747351676257,0.19060432320963247,0.4899001015247501
26932.21757322176,6.299632021015995e-07,9.318590738868146e-06,1.2575183709763249e-06,5.1446059030272625e-08,1.813465722818342e-05,0.012726670737344091,0.1889757974347841,0.4915286272995985
27112.970711297072,6.299414416639427e-07,9.318268852427567e-06,1.2574795424801465e-06,5.178970590850893e-08,1.7373396166392376e-05,0.012727555338802992,0.18736123541838667,0.4931431893159959
27293.723849372385,6.29919682650142e-07,9.317946987049059e-06,1.2574406766010893e-06,5.213333030081796e-08,1.664412559869068e-05,0.012728402770878545,0.18576051706132526,0.4947439076730573
27474.4769874477,6.298979250607452e-07,9.317625142740729e-06,1.2574017737049336e-06,5.247693219854323e-08,1.5945490878920652e-05,0.012729214607339407,0.1841735232865908,0.49633090144779174
27655.230125523012,6.298761688962941e-07,9.317303319510594e-06,1.2573628341534617e-06,5.2820511593129726e-08,1.527619916171202e-05,0.01272999235016572,0.1826001360464592,0.49790428868792336
27835.983263598326,6.29854414157324e-07,9.316981517366571e-06,1.2573238583043681e-06,5.31640684761242e-08,1.46350254772088e-05,0.012730737422495227,0.18104023831919336,0.49946418641518925
28016.736401673643,6.298326608443641e-07,9.316659736316484e-06,1.257284846511722e-06,5.350760283917062e-08,1.4020788643269604e-05,0.012731451196597432,0.17949371408689405,0.5010107106474886
28197.489539748956,6.298109089579374e-07,9.316337976368072e-06,1.2572457991260095e-06,5.385111467400924e-08,1.3432350120743566e-05,0.012732134995203485,0.17796044832737806,0.5025439764070045
28378.24267782427,6.297891584985607e-07,9.316016237528981e-06,1.2572067164940023e-06,5.419460397247731e-08,1.2868622320106098e-05,0.012732790081859659,0.17644032701200008,0.5040640977223826
28558.995815899583,6.297674094667446e-07,9.315694519806764e-06,1.2571675989585755e-06,5.453807072651021e-08,1.2328579270872475e-05,0.012733417648534646,0.17493323710592848,0.5055711876284542
28739.748953974897,6.297456618629942e-07,9.315372823208891e-06,1.2571284468594613e-06,5.4881514928134207e-08,1.1811217584175115e-05,0.01273401886096057,0.17343906653433658,0.5070653582000461
28920.50209205021,6.297239156878082e-07,9.31505114774274e-06,1.2570892605328149e-06,5.5224936569469845e-08,1.131558063531247e-05,0.01273459483054566,0.17195770419164289,0.5085467205427397
29101.255230125524,6.297021709416799e-07,9.314729493415606e-06,1.2570500403112374e-06,5.5568335642731376e-08,1.0840758632008212e-05,0.012735146614296007,0.17048903993524156,0.510015384799141
29282.008368200837,6.296804276250963e-07,9.314407860234697e-06,1.2570107865239358e-06,5.5911712140224775e-08,1.0385881046946079e-05,0.012735675223604498,0.16903296457260308,0.5114714601617795
29462.76150627615,6.29658685738539e-07,9.314086248207135e-06,1.25697149949697e-06,5.625506605434487e-08,9.950104335522179e-06,0.012736181638515323,0.16758936984469114,0.5129150548896915
29643.514644351464,6.296369452824841e-07,9.313764657339958e-06,1.2569321795530836e-06,5.659839737757657e-08,9.532622241267397e-06,0.012736666795755937,0.16615814842702897,0.5143462763073536
29824.267782426778,6.296152062574013e-07,9.313443087640121e-06,1.2568928270115153e-06,5.694170610249624e-08,9.132676301938395e-06,0.012737131576537818,0.164739193932871,0.5157652308015116
30005.020920502095,6.295934686637556e-07,9.313121539114499e-06,1.256853442188639e-06,5.728499222176505e-08,8.749523939446049e-06,0.012737576843612665,0.16333240087770115,0.5171720238566814
30185.774058577408,6.29571732502006e-07,9.31280001176988e-06,1.2568140253976143e-06,5.762825572813191e-08,8.38245737574542e-06,0.012738003419306842,0.16193766468954193,0.5185667600448407
30366.52719665272,6.295499977726061e-07,9.31247850561298e-06,1.2567745769484506e-06,5.7971496614432455e-08,8.030801224487823e-06,0.01273841208831726,0.16055488170056192,0.5199495430338207
30547.280334728035,6.295282644760045e-07,9.312157020650425e-06,1.2567350971480128e-06,5.831471487358858e-08,7.693913185841575e-06,0.012738803596904292,0.1591839491412553,0.5213204755931273
30728.03347280335,6.295065326126436e-07,9.31183555688877e-06,1.2566955863003473e-06,5.8657910498604667e-08,7.371168405657498e-06,0.012739178671059696,0.15782476511794388,0.5226796596164387
30908.786610878662,6.294848021829617e-07,9.311514114334488e-06,1.2566560447064894e-06,5.9001083482569185e-08,7.061970246198343e-06,0.012739538003995672,0.15647722861724342,0.5240271961171391
31089.539748953976,6.294630731873905e-07,9.311192692993973e-06,1.2566164726643944e-06,5.934423381865508e-08,6.76575485420136e-06,0.012739882250838648,0.15514123950529807,0.5253631852290844
31270.29288702929,6.294413456263575e-07,9.310871292873546e-06,1.2565768704692591e-06,5.968736150011583e-08,6.481975565948816e-06,0.012740212046744012,0.153816698503678,0.5266877262307045
31451.046025104602,6.294196195002846e-07,9.310549913979447e-06,1.25653723841345e-06,6.003046652028595e-08,6.210107506315492e-06,0.01274052800155393,0.15250350718826128,0.5280009175461212
31631.799163179916,6.29397894809589e-07,9.31022855631785e-06,1.2564975767864856e-06,6.037354887258073e-08,5.949649487409682e-06,0.012740830697592213,0.15120156798530088,0.5293028567490815
31812.55230125523,6.293761715546822e-07,9.30990721989484e-06,1.2564578858749803e-06,6.071660855049645e-08,5.700127379026988e-06,0.012741120685750139,0.14991078416970763,0.5305936405646748
31993.305439330547,6.293544497359716e-07,9.309585904716442e-06,1.256418165962991e-06,6.105964554760631e-08,5.461078305465283e-06,0.012741398503840826,0.1486310598386763,0.5318733648957061
32174.05857740586,6.29332729353859e-07,9.309264610788598e-06,1.2563784173318236e-06,6.140265985756205e-08,5.23206073509511e-06,0.01274166466488117,0.1473622999184131,0.5331421248159693
32354.811715481173,6.293110104087414e-07,9.308943338117185e-06,1.2563386402600272e-06,6.174565147409377e-08,5.01265566463614e-06,0.012741919655716803,0.1461044101603967,0.5344000145739857
32535.564853556487,6.292892929010109e-07,9.308622086708001e-06,1.256298835023541e-06,6.208862039100786e-08,4.802460327424984e-06,0.01274216394432942,0.14485729712623868,0.5356471276081437
32716.3179916318,6.29267576831055e-07,9.30830085656678e-06,1.2562590018957638e-06,6.24315666021858e-08,4.601085673911391e-06,0.012742397982763118,0.14362086817803993,0.5368835565563425
32897.07112970712,6.292458621992564e-07,9.307979647699178e-06,1.256219141147497e-06,6.277449010158456e-08,4.408159962966751e-06,0.012742622202953718,0.14239503147774552,0.538109393256637
33077.82426778243,6.29224149005993e-07,9.30765846011079e-06,1.2561792530468733e-06,6.311739088323706e-08,4.22333282380376e-06,0.012742837012010856,0.14117969598840663,0.5393247287459759
33258.577405857744,6.292024372516378e-07,9.307337293807135e-06,1.2561393378596667e-06,6.346026894124811e-08,4.046261528806369e-06,0.012743042808162087,0.13997477144557505,0.5405296532888075
33439.33054393306,6.291807269365597e-07,9.307016148793664e-06,1.256099395849131e-06,6.380312426979601e-08,3.876619320977764e-06,0.012743239971080778,0.13878016836537416,0.5417242563690083
33620.08368200837,6.291590180611225e-07,9.306695025075765e-06,1.256059427276025e-06,6.414595686313202e-08,3.714094989629166e-06,0.012743428862378791,0.13759579803858674,0.5429086266957958
33800.836820083685,6.29137310625686e-07,9.306373922658755e-06,1.2560194323986579e-06,6.448876671557936e-08,3.5583914811759533e-06,0.012743609827220224,0.13642157252244275,0.5440828522119399
33981.589958159,6.291156046306051e-07,9.306052841547883e-06,1.255979411473025e-06,6.483155382153125e-08,3.4092204842809008e-06,0.012743783200611328,0.13525740462484032,0.5452470201095422
34162.34309623431,6.290939000762305e-07,9.305731781748338e-06,1.2559393647527347e-06,6.517431817545148e-08,3.26630652403587e-06,0.012743949302644775,0.13410320790644079,0.5464012168279417
34343.096234309625,6.29072196962908e-07,9.305410743265236e-06,1.2558992924889524e-06,6.551705977187491e-08,3.129389997579221e-06,0.012744108434973566,0.1329588966819591,0.5475455280524235
34523.84937238494,6.290504952909795e-07,9.305089726103636e-06,1.2558591949306335e-06,6.585977860540405e-08,2.998217693928952e-06,0.012744260891823157,0.13182438599470192,0.5486800387396806
