Time (s),[ps],[e_ps],[mo],[so],[b_ps],[fa],[ofa],[eps],[oeps]
10122.175732217573,3.045884554501702e-07,4.6940617221702404e-06,0.0002810722369995471,1.8696046206210743e-07,1.3498223795997046e-09,0.004427598441029791,0.009370374907962463,1053.9288538269755,76.07532882913486
10302.928870292888,3.045869494869767e-07,4.694038513539841e-06,0.00028107204496398094,1.8712778299576604e-07,1.3745369731926227e-09,0.004353826722213249,0.009474653830573734,1052.5846008541034,77.41958180200689
10483.682008368201,3.045854421831344e-07,4.694015284248499e-06,0.00028107185267283266,1.8729533749635166e-07,1.3992735683762104e-09,0.004281193093274238,0.009577286080069863,1051.2408613907462,78.76332126536413
10664.435146443515,3.0458393353678105e-07,4.693992034267519e-06,0.000281071660125672,1.8746312595870875e-07,1.4240321957102845e-09,0.004209681489216599,0.009678295583483024,1049.897636175189,80.10654648092132
10845.188284518828,3.045824235460514e-07,4.693968763568153e-06,0.0002810714673220659,1.8763114877778872e-07,1.4488128858059308e-09,0.004139276051327344,0.009777705948724945,1048.5549259466018,81.44925670950855
11025.941422594142,3.045809122090771e-07,4.6939454721216075e-06,0.0002810712742615838,1.8779940634884627e-07,1.4736156693255197e-09,0.0040699611288119155,0.009875540461643462,1047.2127314450368,82.79145121107346
11206.694560669457,3.0457939952398653e-07,4.6939221598990404e-06,0.0002810710809438719,1.8796789907037161e-07,1.4984405769828409e-09,0.004001721329324723,0.009971821999267778,1045.8710534113475,84.13312924476278
11387.44769874477,3.045778854889051e-07,4.693898826871562e-06,0.0002810708873684588,1.8813662733647728e-07,1.523287639542789e-09,0.003934541381023236,0.010066573266120772,1044.5298925874115,85.47429006869878
11568.200836820084,3.045763701019551e-07,4.693875473010233e-06,0.00028107069353491745,1.8830559154325955e-07,1.5481568878216432e-09,0.0038684062443897728,0.010159816602405069,1043.1892497159504,86.81493294015988
11748.953974895398,3.045748533612556e-07,4.693852098286067e-06,0.00028107049944282024,1.884747920870338e-07,1.573048352687002e-09,0.003803301078815792,0.010251574041140372,1041.849125540584,88.15505711552625
11929.707112970711,3.045733352649226e-07,4.69382870267003e-06,0.00028107030509173857,1.8864422936434158e-07,1.5979620650577926e-09,0.003739211240853674,0.010341867311019621,1040.5095208058335,89.49466185027671
12110.460251046026,3.045718158110689e-07,4.693805286133037e-06,0.00028107011048124304,1.8881390377195777e-07,1.6228980559042802e-09,0.003676122282468491,0.01043071783926517,1039.1704362571247,90.83374639898558
12291.21338912134,3.0457029499780416e-07,4.693781848645955e-06,0.00028106991561092866,1.8898381570206285e-07,1.647856356251096e-09,0.0036140196606177523,0.010518147225773789,1037.8318726413388,92.17231001477138
12471.966527196653,3.0456877282323474e-07,4.693758390179604e-06,0.00028106972048037014,1.8915396555079162e-07,1.6728369971719144e-09,0.003552889245493051,0.010604176413358294,1036.493830705848,93.51035195026202
12652.719665271967,3.045672492854643e-07,4.693734910704755e-06,0.00028106952508912935,1.893243537167756e-07,1.6978400097903788e-09,0.003492717231303566,0.01068882583340529,1035.1563111986845,94.84787145742564
12833.47280334728,3.0456572438259306e-07,4.693711410192134e-06,0.0002810693294367778,1.8949498059687833e-07,1.7228654252827759e-09,0.003433489879489201,0.010772115825109965,1033.819314869027,96.18486778708315
13014.225941422595,3.045641981127182e-07,4.6936878886124156e-06,0.0002810691335228862,1.8966584658818677e-07,1.7479132748768078e-09,0.0033751936354378138,0.01085406644492437,1032.4828424669802,97.52134018913006
13194.979079497909,3.045626704739338e-07,4.693664345936225e-06,0.00028106893734702437,1.8983695208802315e-07,1.7729835898515979e-09,0.003317815127018182,0.010934697468954521,1031.1468947435762,98.85728791253385
13375.732217573222,3.0456114146433073e-07,4.693640782134142e-06,0.0002810687409087611,1.9000829749395675e-07,1.7980764015376977e-09,0.0032613411631129668,0.011014028395357494,1029.8114724507789,100.19271020533134
13556.485355648536,3.045596110819967e-07,4.693617197176697e-06,0.00028106854420766416,1.901798832038158e-07,1.8231917413170945e-09,0.0032057587321516747,0.011092078446738533,1028.476576341484,101.52760631462613
13737.23849372385,3.0455807932501643e-07,4.6935935910343705e-06,0.0002810683472433003,1.9035170961569932e-07,1.8483296406232173e-09,0.003151055000643622,0.011168866572548146,1027.1422071695242,102.86197548658595
13917.991631799163,3.0455654619147136e-07,4.693569963677598e-06,0.000281068150015235,1.9052377712798896e-07,1.873490130940944e-09,0.0030972173117108973,0.011244411451479202,1025.8083656896702,104.19581696644005
14098.744769874478,3.0455501167943946e-07,4.6935463150767586e-06,0.0002810679525230828,1.9069608613174557e-07,1.8986732438123145e-09,0.003044232699505613,0.011318732262863859,1024.4750526585474,105.52912999756273
14279.497907949792,3.045534757869959e-07,4.6935226452021875e-06,0.0002810677547664287,1.9086863702261535e-07,1.9238790108276266e-09,0.0029920886438836755,0.011391847487969087,1023.142268833212,106.86191382289806
14460.251046025105,3.045519385122129e-07,4.693498954024175e-06,0.00028106755674480946,1.9104143020368233e-07,1.9491074636233054e-09,0.002940773249523874,0.011463774625539404,1021.8100149708118,108.19416768529827
14641.004184100419,3.0455039985315935e-07,4.69347524151296e-06,0.00028106735845779423,1.912144660732045e-07,1.9743586338911197e-09,0.002890274464068907,0.011534531433817592,1020.4782918300622,109.5258908260479
