time (hr),oxidation,excitation,log10-oxidation,log10-excitation,log10-inactivation
4.418410041841004,0.9997378353611192,0.9309907139877975,3.581425886919663,1.1610924658930117,6.431437430428186
4.468619246861925,0.999761029977557,0.9309264530761168,3.62165657563823,1.1606882424169085,6.471668119146754
4.518828451882845,0.9997821710815574,0.9308622006671597,3.6618844648633497,1.160284448236112,6.511896008371874
4.569037656903767,0.9998014405905912,0.9307979567655279,3.7021095276003253,1.1598810825323127,6.552121071108849
4.619246861924687,0.999819004313505,0.9307337213757105,3.742331775151514,1.1594781444889064,6.592343318660038
4.6694560669456076,0.9998350133716577,0.9306694945020876,3.7825512525889766,1.1590756332910068,6.632562796097501
4.7196652719665275,0.999849605463605,0.9306052761489306,3.82276794071652,1.1586735481254455,6.672779484225044
4.769874476987448,0.9998629060875058,0.9305410663204062,3.8629818291556894,1.1582718881807854,6.712993372664213
4.820083682008368,0.9998750296082718,0.930476865020576,3.9031928688495063,1.1578706526473164,6.753204412358031
4.870292887029289,0.9998860802946031,0.9304126722534009,3.9434011468171133,1.1574698407170736,6.793412690325637
4.920502092050209,0.9998961531425729,0.9303484880227401,3.9836066413792337,1.1570694515838285,6.833618184887758
4.97071129707113,0.9999053347335665,0.9302843123323559,4.023809338454521,1.1566694844431076,6.873820881963045
5.02092050209205,0.9999137039724297,0.9302201451859132,4.064009195524893,1.1562699384921866,6.9140207390334165
5.071129707112971,0.9999213327927446,0.9301559865869826,4.10420626733585,1.155870812930101,6.954217810844374
5.121338912133892,0.9999282867441046,0.930091836539041,4.144400559393396,1.1554721069576461,6.9944121029019195
5.1715481171548126,0.9999346255653688,0.9300276950454741,4.18459205395831,1.155073819777383,7.034603597466834
5.2217573221757325,0.999940403702608,0.9299635621095782,4.224780721336136,1.1546759505936461,7.0747922648446595
5.271966527196653,0.9999456707848017,0.9298994377345602,4.264966568433964,1.1542784986125343,7.114978111942488
5.322175732217573,0.9999504720489931,0.9298353219235417,4.305149638599679,1.1538814630419314,7.155161182108203
5.372384937238494,0.9999548487176125,0.9297712146795581,4.34532991033626,1.153484843091494,7.195341453844784
