Time (s),[ps],[e_ps],[mo],[so],[fa],[ofa]
44020.10050251256,73915.65785538439,163413.79990079335,-5.509219269496184e-13,5.572770122738978e-09,0.0010050415347089702,2.7568832807049085e-07
44623.115577889446,72743.89468465329,164585.56307152446,2.6236532545778636e-13,5.572753999616099e-09,0.0010050415355061344,2.756875309063589e-07
45226.13065326633,71590.71019385429,165738.74756232346,7.371324675205513e-13,5.572744590217504e-09,0.001005041535971492,2.756870655486138e-07
45829.14572864321,70455.80593231959,166873.65182385815,4.1610374082967737e-13,5.5727509609508445e-09,0.001005041535656834,2.7568738020660624e-07
46432.160804020095,69338.89141789678,167990.566338281,-1.4641598798616536e-13,5.5727621178894665e-09,0.0010050415351054711,2.756879315693962e-07
47035.175879396986,68239.68611424557,169089.7716419322,-1.9515993043131867e-13,5.572763080212602e-09,0.0010050415350576895,2.756879793510154e-07
47638.19095477387,67157.90141759017,170171.5563385876,6.6762703789509245e-15,5.572759069650006e-09,0.0010050415352555152,2.7568778152537716e-07
48241.20603015075,66093.27168845288,171236.1860677249,-3.677503032140634e-15,5.572759274338967e-09,0.001005041535245366,2.756877916744615e-07
48844.221105527635,65045.512412667966,172283.9453435098,-8.469073066848154e-14,5.5727608861767205e-09,0.0010050415351659644,2.7568787107585096e-07
49447.23618090452,64014.37028582645,173315.08747035134,-6.480592264131848e-14,5.5727604928884415e-09,0.001005041535185456,2.7568785158433043e-07
50050.25125628141,62999.56773893521,174329.89001724258,2.5667125235222418e-14,5.572758697252461e-09,0.0010050415352741335,2.7568776290691705e-07
50653.26633165829,62000.85847377994,175328.59928239786,5.1563707950083013e-14,5.57275818340065e-09,0.0010050415352995162,2.756877375241854e-07
51256.281407035174,61017.977821685934,176311.47993449186,-1.543825547523778e-15,5.572759237178851e-09,0.0010050415352474624,2.7568778957794077e-07
51859.29648241206,60050.6795900646,177278.77816611322,-4.196842314649573e-14,5.572760039295444e-09,0.00100504153520784,2.756878292004221e-07
52462.31155778894,59098.71621075012,178230.74154542768,-3.0614737037201084e-15,5.572759267411648e-09,0.001005041535245975,2.7568779106535646e-07
53065.32663316582,58161.84164454384,179167.61611163398,5.216235777810137e-14,5.572758171744463e-09,0.0010050415353001032,2.7568773693719256e-07
53668.34170854271,57239.8225895222,180089.63516665561,2.1062294832612713e-14,5.572758788611529e-09,0.00100504153526962,2.7568776742039045e-07
